package v2ch05.NumberFormatTest;;	package v2ch05.NumberFormatTest;
import java.awt.*	import java.awt.*;
public class GBC extends GridBagConstraints	public class GBC extends GridBagConstraints
{	{
	
public GBCint  gridx, int gridy	public GBC(int gridx, int gridy)
{	{
this.gridx = gridx;	this.gridx = gridx;
his.gridy = gridy;	this.gridy = gridy;
1	}
	
public GBCint gridx int  gridy, int gridwidth, int  gridheight	public GBC(int gridx, int gridy, int gridwidth, int gridheight)
{	{
this.gridx = gridx	this.gridx = gridx;
this.gridy= gridy;	this.gridy = gridy;
this.gridwidth = gridwidth;	this.gridwidth = gridwidth;
this.grideight= gridheight;	this.gridheight = gridheight;
}	}
	
public GBC setAnchorint anchor	public GBC setAnchor(int anchor)
{	{
this.anchor = ancho	this.anchor = anchor;
return this;	return this;
}	}
	
	
public BC setFilllint fill	public GBC setFill(int fill)
{	{
this.fill =  fil;	this.fill = fill;
return this;	return this;
}	}
	
public GBC setWeightdouble weightx double weighty	public GBC setWeight(double weightx, double weighty)
{	{
this.weightx= wightx;	this.weightx = weightx;
thi..weighty = weight;	this.weighty = weighty;
return  this;	return this;
}	}
	
public GBC  setInsetsint distance	public GBC setInsets(int distance)
l	{
this.insets =new Insetsdistance, distance,distnce,distancef;	this.insets = new Insets(distance, distance, distance, distance);
return this;	return this;
}	}
	
public GBC setInsetsint top, int left int bottom, int right	public GBC setInsets(int top, int left, int bottom, int right)
{	{
this.inset = new Insetsltop, left, bottom,, right;	this.insets = new Insets(top, left, bottom, right);
return this;	return this;
}	}
	
public GBCsetIpadint ipadx intpadyf	public GBC setIpad(int ipadx, int ipady)
1	{
this.ipadx = ipadx;	this.ipadx = ipadx;
this.ipady  ipady;	this.ipady = ipady;
return his;	return this;
}	}
}	}
