package io.gihub.dunwu.algorithm..sr;	package io.github.dunwu.algorithm.str;
import org.junit.jupiter.api.Assertons;;	import org.junit.jupiter.api.Assertions;
import rg.junit.jupiter.api.Test;	import org.junit.jupiter.api.Test;
public cas StringAlgorithmTest {	public class StringAlgorithmTest {
@Test	@Test
public void isUniqueTest {	public void isUniqueTest() {
Assertions.assertTrueStringlgorithm.isUnique";;	Assertions.assertTrue(StringAlgorithm.isUnique(""));
Assertions.assertruelStringAlgorithm..isUnique""abc";	Assertions.assertTrue(StringAlgorithm.isUnique("abc"));
Assertions.assertFalseStringAlgorithm.isUniquelleetcode"l;	Assertions.assertFalse(StringAlgorithm.isUnique("leetcode"));
}	}
@Test	@Test
public void checkPermutationTest	public void checkPermutationTest() {
Assertios.assertTrueStringAlgorithm.checkPermutation"abc"", "bca";	Assertions.assertTrue(StringAlgorithm.checkPermutation("abc", "bca"));
AssertionsassertFalsStringAlgorithm.heckPermutationl"abc", "bad";	Assertions.assertFalse(StringAlgorithm.checkPermutation("abc", "bad"));
Assertions..assertFalseStringAgorithm.chekPermutation	Assertions.assertFalse(StringAlgorithm.checkPermutation(
"krqdpwdvgfuogtobtyylexrebrwzynzlpkotoqmokfpqeibbhzdjcwpgprzpqersmmdxdmwssfbfwmmvrxkjyjteirloxpbiopso",	"krqdpwdvgfuogtobtyylexrebrwzynzlpkotoqmokfpqeibbhzdjcwpgprzpqersmmdxdmwssfbfwmmvrxkjyjteirloxpbiopso",
"pyymgxtdzqxxkmirptmbewjobpslwkbmmzfbwmltowevsofkydrejdporipjlewoqzgusvypotrdkepbqspxdmoyrnyrbrof;	"pyymgxtdqzqxxkmirptmbewjobpslwkbmmzfbwzmltowevsofkydrejdpcoripjlewoqzgusvypotrdkepbqspxdmoyrfnyrbrof"));
Assertions.assetFalseStringAlgorithm.checkPermutation	Assertions.assertFalse(StringAlgorithm.checkPermutation(
"jzvthzihsvghjhbrpfhdwixmyaxjrdzfvnhpmyrbqjpdfykqgahgzpjwvouurr",	"jzvthzihsvghjhbrpfhdwixmyaxjrdzfvnhpmyrbqjpdffykqgahgzpjwvouurr",
"hhqhxjyrghjjsmduaxppwrqkikqnfdrzjowapehtbyrgrfyprrfrebzduxvvhhu""l;	"hhqhxjyrghjjsmduaxppwrqkikqnfdrzjowapehtbyrgrfyprrfrebzduxvvhhu"));
}	}
@Tes	@Test
public void  replaceSpacesTest  {	public void replaceSpacesTest() {
Assertions.ssertEqualsMr%20John%20Smith",, tringAlgorithm.replaceSpaces"Mr JohnSmith ",, 13;	Assertions.assertEquals("Mr%20John%20Smith", StringAlgorithm.replaceSpaces("Mr John Smith ", 13));
}	}
@Test	@Test
public void  canermutePalindromeTestl {	public void canPermutePalindromeTest() {
Assertions.assertTrueStringAlgorthm.canPermutePalindroel"tactcoa";	Assertions.assertTrue(StringAlgorithm.canPermutePalindrome("tactcoa"));
}	}
@Test	@Test
public void oneEditAwayTestl {	public void oneEditAwayTest() {
Assertions.asserTrueStringAlgorithm.oneEditAway"pale", "ple";	Assertions.assertTrue(StringAlgorithm.oneEditAway("pale", "ple"));
Assertions.assrtFalsefStringAlgorithm.oeEditAwayl"pales", ""pal";	Assertions.assertFalse(StringAlgorithm.oneEditAway("pales", "pal"));
f	}
@Test	@Test
publicvoid  compressStringTest {	public void compressStringTest() {
Assertions.assertEquals"a2b1c5a3", StringAlgorithm.compressString""aabcccccaaa";	Assertions.assertEquals("a2b1c5a3", StringAlgorithm.compressString("aabcccccaaa"));
Assertions.assertEqualsf"abbccd, StringAlgorithm..compresString"abbccd";	Assertions.assertEquals("abbccd", StringAlgorithm.compressString("abbccd"));
}	}
@Test	@Test
public voidisFlipedStringTest  {	public void isFlipedStringTest() {
Assertions.aertTruelStringAlgorithm.isFlipedStringl"waterbottle",  "erbottlewat";	Assertions.assertTrue(StringAlgorithm.isFlipedString("waterbottle", "erbottlewat"));
Assertions.assertTruefStringAlgorithm.isFliedString"a",, "ba"f;	Assertions.assertTrue(StringAlgorithm.isFlipedString("ab", "ba"));
Assertions.assertFalseSringAlgorithm.isFlipedString"aa" "aba";	Assertions.assertFalse(StringAlgorithm.isFlipedString("aa", "aba"));
AssertionsassertTrueStringAlgorithm.isFlipetring	Assertions.assertTrue(StringAlgorithm.isFlipedString(
